date,value
2014-01-01,82.13333333333333
2014-04-01,82.5
2014-07-01,83.33333333333333
2014-10-01,83.8
2015-01-01,85.7
2015-04-01,85.73333333333333
2015-07-01,87.13333333333333
2015-10-01,88.36666666666667
2016-01-01,89.33333333333333
2016-04-01,91.56666666666666
2016-07-01,92.5
2016-10-01,94.06666666666666
2017-01-01,95.56666666666666
2017-04-01,96.13333333333333
2017-07-01,96.63333333333334
2017-10-01,97.13333333333334
2018-01-01,97.53333333333335
2018-04-01,97.86666666666667
2018-07-01,99.06666666666666
2018-10-01,100.23333333333333
2019-01-01,103.0
2019-04-01,104.03333333333335
2019-07-01,104.53333333333335
2019-10-01,105.53333333333335
2020-01-01,107.06666666666666
2020-04-01,108.06666666666668
2020-07-01,108.96666666666665
2020-10-01,110.23333333333335
2021-01-01,112.0
2021-04-01,112.60000000000001
2021-07-01,113.56666666666668
2021-10-01,120.16666666666667
2022-01-01,128.73333333333332
2022-04-01,155.0
2022-07-01,178.79999999999998
2022-10-01,188.1
2023-01-01,191.4333333333333
2023-04-01,187.83333333333334
2023-07-01,185.79999999999998
2023-10-01,189.66666666666666
2024-01-01,196.5666666666667
2024-04-01,194.16666666666666
2024-07-01,190.20000000000002
2024-10-01,192.53333333333333
2025-01-01,195.5666666666667
