date,value
2014-01-01,105.2
2014-02-01,105.5
2014-03-01,105.6
2014-04-01,105.9
2014-05-01,105.9
2014-06-01,106
2014-07-01,106.1
2014-08-01,106.7
2014-09-01,106.5
2014-10-01,105.6
2014-11-01,105.1
2014-12-01,104.7
2015-01-01,108.1
2015-02-01,106.8
2015-03-01,107.1
2015-04-01,107.7
2015-05-01,107.8
2015-06-01,107.9
2015-07-01,108.3
2015-08-01,108.9
2015-09-01,109.1
2015-10-01,109.3
2015-11-01,110.3
2015-12-01,110.6
2016-01-01,110.5
2016-02-01,110.7
2016-03-01,110.9
2016-04-01,111.8
2016-05-01,113.7
2016-06-01,113.9
2016-07-01,113.7
2016-08-01,113.9
2016-09-01,114.3
2016-10-01,114.8
2016-11-01,117.2
2016-12-01,117
2017-01-01,117.7
2017-02-01,118.2
2017-03-01,118.3
2017-04-01,118.4
2017-05-01,118.8
2017-06-01,118.9
2017-07-01,119
2017-08-01,119.4
2017-09-01,119.5
2017-10-01,119.7
2017-11-01,120.4
2017-12-01,120.4
2018-01-01,120.7
2018-02-01,121.5
2018-03-01,121.7
2018-04-01,122
2018-05-01,123.3
2018-06-01,123.9
2018-07-01,124.1
2018-08-01,125
2018-09-01,125.7
2018-10-01,126.6
2018-11-01,126.7
2018-12-01,126.1
2019-01-01,128.5
2019-02-01,129.7
2019-03-01,130.3
2019-04-01,131.1
2019-05-01,131.5
2019-06-01,131.6
2019-07-01,131.7
2019-08-01,132
2019-09-01,132.1
2019-10-01,132
2019-11-01,132
2019-12-01,131.4
2020-01-01,132.3
2020-02-01,132.4
2020-03-01,132.6
2020-04-01,132.6
2020-05-01,132.6
2020-06-01,132.6
2020-07-01,133
2020-08-01,133.4
2020-09-01,133.9
2020-10-01,134
2020-11-01,134.3
2020-12-01,134.3
2021-01-01,134.7
2021-02-01,134.9
2021-03-01,135.3
2021-04-01,135.5
2021-05-01,135.9
2021-06-01,136.5
2021-07-01,137.2
2021-08-01,137.4
2021-09-01,137.9
2021-10-01,141.2
2021-11-01,142.6
2021-12-01,144.5
2022-01-01,148.4
2022-02-01,149.8
2022-03-01,154.9
2022-04-01,167.9
2022-05-01,182.4
2022-06-01,196
2022-07-01,209.1
2022-08-01,215.8
2022-09-01,224.5
2022-10-01,227.7
2022-11-01,228.7
2022-12-01,229.7
