date,value
2014-01-01,103.1
2014-02-01,103
2014-03-01,103.2
2014-04-01,104.1
2014-05-01,104.9
2014-06-01,106.2
2014-07-01,107
2014-08-01,106.4
2014-09-01,106.4
2014-10-01,106
2014-11-01,106.9
2014-12-01,108.6
2015-01-01,112.8
2015-02-01,108.9
2015-03-01,107.6
2015-04-01,107
2015-05-01,108
2015-06-01,109.1
2015-07-01,108.9
2015-08-01,108.4
2015-09-01,108.4
2015-10-01,109.2
2015-11-01,112
2015-12-01,113.2
2016-01-01,112
2016-02-01,110.8
2016-03-01,110
2016-04-01,111.6
2016-05-01,113.7
2016-06-01,116.1
2016-07-01,115.2
2016-08-01,113.3
2016-09-01,113.5
2016-10-01,114.7
2016-11-01,116.6
2016-12-01,118
2017-01-01,119.3
2017-02-01,119.9
2017-03-01,119.5
2017-04-01,121
2017-05-01,121.8
2017-06-01,123.4
2017-07-01,122.4
2017-08-01,122.3
2017-09-01,123.3
2017-10-01,124.8
2017-11-01,126.4
2017-12-01,126.6
2018-01-01,125.8
2018-02-01,123.7
2018-03-01,122.8
2018-04-01,122.9
2018-05-01,124.3
2018-06-01,126.5
2018-07-01,126.6
2018-08-01,125.4
2018-09-01,124.4
2018-10-01,124.9
2018-11-01,127.7
2018-12-01,127.1
2019-01-01,127.3
2019-02-01,126.7
2019-03-01,126.4
2019-04-01,127.3
2019-05-01,128.7
2019-06-01,129.2
2019-07-01,129.4
2019-08-01,129.7
2019-09-01,130.6
2019-10-01,131.9
2019-11-01,132.9
2019-12-01,135
2020-01-01,137
2020-02-01,137
2020-03-01,135.2
2020-04-01,134.8
2020-05-01,135.4
2020-06-01,137.3
2020-07-01,137.3
2020-08-01,137.8
2020-09-01,138.9
2020-10-01,139.1
2020-11-01,139.8
2020-12-01,141.2
2021-01-01,142.1
2021-02-01,142.8
2021-03-01,142.1
2021-04-01,142.2
2021-05-01,143.6
2021-06-01,145.7
2021-07-01,146.6
2021-08-01,147.1
2021-09-01,147.5
2021-10-01,150.6
2021-11-01,155.3
2021-12-01,161
2022-01-01,166
2022-02-01,167.8
2022-03-01,172.7
2022-04-01,190.3
2022-05-01,208.7
2022-06-01,231.5
2022-07-01,244.4
2022-08-01,250.4
2022-09-01,256.2
2022-10-01,256.9
2022-11-01,256.3
2022-12-01,256.3
