date,value
1970-01-01,6.800000190734863
1971-01-01,1.7999999523162842
1972-01-01,6.0
1973-01-01,12.699999809265137
1974-01-01,14.100000381469727
1975-01-01,7.699999809265137
1976-01-01,-1.100000023841858
1977-01-01,0.6000000238418579
1978-01-01,16.799999237060547
1979-01-01,10.899999618530273
1980-01-01,29.0
1981-01-01,17.600000381469727
1982-01-01,12.699999809265137
1983-01-01,12.399999618530273
1984-01-01,18.100000381469727
1985-01-01,0.10000000149011612
1986-01-01,7.199999809265137
1987-01-01,8.699999809265137
1988-01-01,15.100000381469727
1989-01-01,10.300000190734863
1990-01-01,23.299999237060547
1991-01-01,11.899999618530273
1992-01-01,11.899999618530273
1993-01-01,11.199999809265137
1994-01-01,8.899999618530273
1995-01-01,6.900000095367432
1996-01-01,19.200000762939453
1997-01-01,10.899999618530273
1998-01-01,10.899999618530273
1999-01-01,4.0
2000-01-01,4.5
2001-01-01,15.199999809265137
2002-01-01,10.600000381469727
2003-01-01,5.800000190734863
2004-01-01,7.800000190734863
2005-01-01,12.100000381469727
2006-01-01,13.199999809265137
2007-01-01,18.200000762939453
2008-01-01,30.5
2009-01-01,2.799999952316284
2010-01-01,6.800000190734863
2011-01-01,
2012-01-01,
2013-01-01,
2014-01-01,13.817479133605957
2015-01-01,5.239999771118164
2016-01-01,3.069999933242798
2017-01-01,11.34000015258789
2018-01-01,-0.22302354872226715
2019-01-01,0.6639931797981262
2020-01-01,12.1799898147583
2021-01-01,11.2
2022-01-01,60.21873021953182
2023-01-01,10.693864309177172
