exp_id,MASE,SoftDTW,TPAloss,SQL,var,em,block,TPA,Neff,maxw
B11-M-001,0.184848419595937,73.604325926823,0.333333333333333,0.1131767370352217,HCPI,EM2,A,0.666666666666667,2.4521824423737124,0.61
B11-M-002,0.101966524517232,30.0199740760362,0.166666666666667,0.1001226796823035,HCPI,EM2,A,0.833333333333333,1.315436241610738,0.869047619047619
B11-M-003,0.0676390011577095,13.9574124435728,0.0,0.0854817198031212,HCPI,EM2,A,1.0,2.0329807093963908,0.525252525252525
B11-M-004,0.151777225689445,97.2253298734801,0.0,0.1388317938519864,HCPI,EM2,A,1.0,3.0281014393420143,0.531914893617021
B11-M-005,0.174779452554072,44.8760013336321,0.0,0.1551506912546639,HCPI,EM2,A,1.0,2.5989847715736056,0.583333333333333
B11-M-006,0.173560931427534,115.665933966804,0.0,0.138236933150334,HCPI,EM2,A,1.0,3.8506329113924096,0.41025641025641
B11-M-007,0.120853805140447,26.7717555337528,0.166666666666667,0.0975356633992424,HCPI,EM3,A,0.833333333333333,2.5055975794251126,0.450549450549451
B11-M-008,0.0873364659600652,14.7894588750036,0.0,0.0943696466867462,HCPI,EM3,A,1.0,1.310615989515072,0.87
B11-M-009,0.0592519713169088,11.266366673549,0.0,0.0676428915597781,HCPI,EM3,A,1.0,1.7562346329469616,0.74
B11-M-010,0.160634110567209,105.797028524629,0.0,0.1736866570435387,HCPI,EM3,A,1.0,2.6630500301386357,0.574468085106383
B11-M-011,0.18713374683871,54.5127271520482,0.0,0.1564908993973825,HCPI,EM3,A,1.0,2.5340369393139848,0.581632653061224
B11-M-012,0.107097489353905,16.5164203076487,0.0,0.1065626820432727,HCPI,EM3,A,1.0,5.4288816503800215,0.27
B11-M-013,0.177588549123049,67.4795747946562,0.333333333333333,0.1107058148172498,HCPI,EM4,A,0.666666666666667,2.21141088014153,0.64
B11-M-014,0.101727605022578,29.9294910225952,0.166666666666667,0.0996458071792306,HCPI,EM4,A,0.833333333333333,1.3067137809187286,0.872093023255814
B11-M-015,0.0683943629115092,14.4023392445914,0.0,0.0855617879557358,HCPI,EM4,A,1.0,2.0357234644050375,0.528089887640449
B11-M-016,0.0900787491718657,50.4566912332994,0.0,0.1094753521363625,HCPI,EM4,A,1.0,2.134927412467976,0.65
B11-M-017,0.372869208264595,242.341490553857,0.25,0.2990773761800483,HCPI,EM4,A,0.75,2.386946386946387,0.578125
B11-M-018,0.144115382558571,25.9339917263805,0.25,0.1330026881470904,HCPI,EM4,A,0.75,6.2543312543312535,0.221052631578947
B11-M-019,0.184447246678164,73.9826459309327,0.333333333333333,0.1136335796950448,HCPI,EM5,A,0.666666666666667,2.513826043237808,0.6
B11-M-020,0.095431351725431,26.145832845268,0.166666666666667,0.096214227674215,HCPI,EM5,A,0.833333333333333,1.3279128248113994,0.865168539325843
B11-M-021,0.0680728382446708,14.2120005132416,0.0,0.0855277409651693,HCPI,EM5,A,1.0,2.0345800988002822,0.526881720430108
B11-M-022,0.146519187062694,92.4638522386488,0.0,0.144721137935559,HCPI,EM5,A,1.0,2.5128205128205128,0.591836734693878
B11-M-023,0.2115980148026,102.267936708454,0.0,0.1789923256052167,HCPI,EM5,A,1.0,3.834782608695653,0.428571428571428
B11-M-024,0.176635470454734,116.40201578431,0.0,0.1392686453882605,HCPI,EM5,A,1.0,3.6528451698279656,0.362637362637363
