em,metric,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,AVG
EM2,MAE,83,67,67,67,67,67,67,67,50,50,17,17,57
EM3,RMSE,83,83,67,83,83,67,83,83,83,67,50,17,71
EM4,MAPE,67,50,50,50,50,50,50,83,50,50,17,17,49
EM5,SMAPE,83,67,67,67,67,67,67,67,50,50,33,17,58
EM6,MASE,83,67,67,67,67,50,50,67,33,50,17,17,53
EM7,RMSSE,83,83,83,83,83,67,83,83,83,50,33,17,69
EM8,WAPE,83,67,67,67,67,67,67,67,50,50,17,17,57
EM9,WQL,100,100,100,83,100,100,100,83,67,50,17,0,75
EM10,SQL,100,100,100,83,100,100,83,83,67,50,17,0,74
EM11,MQL,100,100,100,83,100,100,100,83,67,50,17,0,75
EM12,DTW,100,100,100,83,100,100,83,83,83,67,33,17,79
EM13,SoftDTW,67,67,67,67,67,67,67,67,100,67,67,33,67
EM14,Wasserstein,67,67,67,67,67,67,67,67,50,67,50,33,61
EM15,TDI,83,67,50,33,17,17,17,17,17,17,17,0,29
EM16,TDA,100,83,83,83,67,33,50,33,17,33,17,0,50
EM17,DA,83,83,67,83,67,67,83,67,33,33,33,0,58
EM18,TPA,17,0,0,0,0,0,0,0,0,0,0,0,1
