var,em,origin,MAE,RMSE,WAPE_pct,bias_pct,MAE_yoy,RMSE_yoy,bias_yoy,w80_pct,cov80,w60_pct,cov60,w20_pct,cov20,IS80,IS60,pinball_pct,level
HCPI,EM12,2025-09-01,5.1974,6.9178,2.42775,-2.42775,2.50746,3.33131,-2.50746,12.04865,1.0,7.79242,0.75,2.33236,0.33333,12.04865,8.30677,0.97062,214.08333
HCPI,EM13,2025-04-01,2.30572,2.83155,1.10564,-1.10564,1.12031,1.37472,-1.12031,8.23805,1.0,5.26401,1.0,1.52622,0.25,8.23805,5.26401,0.50817,208.54167
HCPI,EM13,2025-05-01,1.90092,2.68464,0.90797,-0.88719,0.92253,1.30101,-0.90103,8.16604,1.0,4.90266,1.0,1.21751,0.5,8.16604,4.90266,0.48281,209.35833
HCPI,EM13,2025-06-01,2.00231,2.95365,0.95212,-0.18673,0.97347,1.42988,-0.18361,8.08537,1.0,5.15897,1.0,1.31448,0.41667,8.08537,5.15897,0.49151,210.3
HCPI,EM13,2025-07-01,3.18617,5.17946,1.50694,-1.35921,1.53792,2.49212,-1.38414,13.53294,1.0,9.38455,1.0,2.92304,0.58333,13.53294,9.38455,0.9329,211.43333
HCPI,EM13,2025-08-01,5.50038,6.11266,2.58608,2.22079,2.68615,2.98852,2.31346,15.16446,1.0,10.00895,0.83333,3.52533,0.33333,15.16446,10.24492,1.0888,212.69167
HCPI,EM13,2025-09-01,6.2193,7.05359,2.90508,2.90508,3.03329,3.44277,3.03329,19.02158,1.0,12.45616,0.91667,3.75677,0.33333,19.02158,12.75651,1.32193,214.08333
HCPI,EM14,2025-04-01,3.66465,4.0633,1.75727,-1.75727,1.78186,1.9738,-1.78186,8.95268,1.0,6.00607,1.0,1.77197,0.25,8.95268,6.00607,0.7103,208.54167
HCPI,EM14,2025-05-01,2.37059,2.94826,1.13231,-1.13231,1.15141,1.42942,-1.15141,9.43011,1.0,5.81089,0.91667,1.42243,0.33333,9.43011,5.94048,0.60802,209.35833
HCPI,EM14,2025-06-01,1.85211,2.97552,0.8807,-0.48581,0.89857,1.43793,-0.49066,8.38973,1.0,5.22395,1.0,1.26718,0.41667,8.38973,5.22395,0.49398,210.3
HCPI,EM14,2025-07-01,5.08817,6.46815,2.40651,-2.40651,2.4642,3.1193,-2.4642,16.93035,1.0,12.17911,1.0,3.91287,0.25,16.93035,12.17911,1.29329,211.43333
HCPI,EM14,2025-08-01,6.32143,7.19631,2.97211,2.91637,3.08855,3.51731,3.03165,16.02722,1.0,10.73859,0.75,3.93474,0.33333,16.02722,11.16721,1.22705,212.69167
HCPI,EM14,2025-09-01,6.32941,7.02458,2.95652,2.95652,3.08362,3.42369,3.08362,15.38671,1.0,9.54349,0.66667,2.78629,0.25,15.38671,10.40233,1.19821,214.08333
HCPI,EM15,2025-04-01,3.45833,3.88383,1.65834,-1.52248,1.68995,1.90064,-1.55386,31.75642,1.0,20.85509,1.0,6.27786,1.0,31.75642,20.85509,1.62059,208.54167
HCPI,EM15,2025-05-01,4.13333,4.77982,1.97429,-1.97429,2.01739,2.33104,-2.01739,31.63018,1.0,20.77219,1.0,6.2529,0.91667,31.63018,20.77219,1.63584,209.35833
HCPI,EM15,2025-06-01,4.975,5.77646,2.36567,-2.36567,2.42273,2.80658,-2.42273,31.48878,1.0,20.67933,1.0,6.22495,0.83333,31.48878,20.67933,1.67265,210.3
HCPI,EM15,2025-07-01,6.05833,6.98218,2.86536,-2.86536,2.94175,3.37768,-2.94175,31.31957,1.0,20.5682,1.0,6.1915,0.75,31.31957,20.5682,1.72398,211.43333
HCPI,EM15,2025-08-01,7.2,8.22121,3.38518,-3.38518,3.48945,3.9686,-3.48945,31.1339,1.0,20.44627,1.0,6.15479,0.66667,31.1339,20.44627,1.78397,212.69167
HCPI,EM15,2025-09-01,8.33333,9.48833,3.89257,-3.89257,4.03454,4.57941,-4.03454,30.93069,1.0,20.31282,1.0,6.11462,0.58333,30.93069,20.31282,1.85528,214.08333
HCPI,EM16,2025-04-01,3.45833,3.88383,1.65834,-1.52248,1.68995,1.90064,-1.55386,31.75642,1.0,20.85509,1.0,6.27786,1.0,31.75642,20.85509,1.62059,208.54167
