em,CCPI,FCPI,HCPI,all,w80,cov80
EM18,1.6222291370732118,1.22086566828081,13.802224594458258,1.6580438063507739,31.61117241570186,0.699074074074074
EM15,0.9220530782908529,2.067822772015748,1.4233528892982472,1.3182441338710422,32.12681842053902,1.0
EM17,1.4455536783912608,1.3597028101262976,0.8735516378249146,1.1350058656460544,16.547026583224287,0.8101851851851852
EM5,1.1979687319976833,1.0003964528682459,1.0728928404960179,1.0454897033796176,13.481691757229154,0.9814814814814815
EM6,1.2257426807140523,1.0,1.0860339240880807,1.0286703839361095,13.246701975704038,0.9814814814814815
EM2,1.1794448108101458,1.0,1.0337073626811533,1.0152697639318529,13.267825753384972,0.9861111111111112
EM14,0.9712448500374993,1.2036112732370476,1.0455983342882815,1.0146706302634985,13.737416606234811,0.9861111111111112
EM4,1.1866487201562856,1.0,1.0824486196265877,1.0143902304376733,12.996714122191499,0.9537037037037037
EM8,1.1785652773159665,0.9998453099146035,1.0173556470664153,1.0136514258681641,13.302265398736639,0.9861111111111112
EM7,0.9848523815042185,1.1685582562634214,1.0,1.0,14.221556604963546,0.9861111111111112
EM3,0.9839653613147982,1.1506683864467877,1.0,1.0,14.259255242949,0.9861111111111112
EM16,0.9220530782908529,0.9491978587814384,1.295565348285055,1.0,19.784804841289905,0.9768518518518517
EM12,0.7306059473673876,1.0539490000712401,0.7771653810420538,0.886228306230485,11.902077336947164,0.9861111111111112
EM13,0.7934122706609985,1.0407386397737435,0.8193128623183162,0.8700185057391878,12.273358419146335,0.9768518518518517
EM9,0.9447514077653658,0.8510565428895802,0.7852632173343856,0.8529508431578402,9.476844921474068,0.949074074074074
EM10,0.9453068951012932,0.8314299509132961,0.789832851758274,0.8472046373464408,9.461360251179661,0.9444444444444444
EM11,0.9442189383518893,0.8442050056338457,0.7874177783843728,0.8417675592041484,9.42834283389589,0.9537037037037037
